hs2,Count,HS code description,Keep?
10,80350,CEREALS,Yes
12,74834,"OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER",Yes
84,71873,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF",Yes
85,62059,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES",Yes
90,58713,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF",Yes
83,50533,MISCELLANEOUS ARTICLES OF BASE METAL,Yes
39,42570,PLASTICS AND ARTICLES THEREOF,Yes
94,38953,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name- plates and the like; prefabricated buildings",Yes
71,34859,"Natural or cultured pearls, precious or semi- precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",No
95,34429,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF",Yes
96,34092,MISCELLANEOUS MANUFACTURED ARTICLES,Yes
14,32262,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED,Yes
98,28031,,
44,27665,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,No
73,26163,ARTICLES OF IRON OR STEEL,Yes
42,24424,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk- worm gut)",No
48,23289,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD",Yes
91,21717,CLOCKS AND WATCHES AND PARTS THEREOF,Yes
63,21224,Other made up textile articles; sets; worn clothing and worn textile articles; rags,Yes
66,20531,"Umbrellas, sun umbrellas, walking- sticks, seat- sticks, whips, riding- crops and parts thereof",Yes
53,19606,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN,Yes
65,19316,HEADGEAR AND PARTS THEREOF,Yes
76,18964,ALUMINIUM AND ARTICLES THEREOF,Yes
49,18222,"PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS",Yes
50,18221,SILK,Yes
59,16429,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE",Yes
17,16394,SUGARS AND SUGAR CONFECTIONERY,Yes
30,16374,PHARMACEUTICAL PRODUCTS,Yes
80,16299,TIN AND ARTICLES THEREOF,Yes
60,15585,KNITTED OR CROCHETED FABRICS,Yes
43,14924,FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF,No
87,14741,"Vehicles other than railway or tramway rolling- stock, and parts and accessories thereof",Yes
22,14274,"BEVERAGES, SPIRITS AND VINEGAR",Yes
23,13934,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER,No
34,12803,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",Yes
38,12291,MISCELLANEOUS CHEMICAL PRODUCTS,Yes
74,11962,COPPER AND ARTICLES THEREOF,Yes
21,11782,MISCELLANEOUS EDIBLE PREPARATIONS,Yes
92,11084,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES,Yes
70,10902,GLASS AND GLASSWARE,No
19,10542,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS",Yes
67,10497,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR,Yes
61,10366,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED",Yes
32,10280,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Yes
16,10122,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",Yes
68,10082,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS",No
62,10053,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED",Yes
81,10038,OTHER BASE METALS; CERMETS; ARTICLES THEREOF,Yes
64,9831,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES",Yes
40,9714,RUBBER AND ARTICLES THEREOF,Yes
82,9467,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL",Yes
51,8382,"WOOL, FINE OR COARSE ANIMAL HAIR; HORSEHAIR YARN AND WOVEN FABRIC",Yes
88,8350,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",Yes
27,7449,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",No
15,7008,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,Yes
25,6875,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",No
75,6432,NICKEL AND ARTICLES THEREOF,Yes
52,6177,COTTON,Yes
78,6097,LEAD AND ARTICLES THEREOF,Yes
79,6097,ZINC AND ARTICLES THEREOF,Yes
58,5942,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY,Yes
46,5644,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK",No
20,5512,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS",Yes
35,5080,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES,Yes
29,4898,ORGANIC CHEMICALS,Yes
33,4475,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS",Yes
89,4384,"SHIPS, BOATS AND FLOATING STRUCTURES",Yes
13,4033,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS",Yes
54,3160,MAN-MADE FILAMENTS; STRIP AND THE LIKE OF MAN-MADE TEXTILE MATERIALS,Yes
56,3062,"WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF",Yes
45,2909,CORK AND ARTICLES OF CORK,No
24,2376,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,No
41,1974,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,No
28,1864,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare- earth metals, of radioactive elements or of isotopes",Yes
26,1819,"ORES, SLAG AND ASH",No
72,1621,IRON AND STEEL,Yes
36,1446,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS,Yes
86,1313,"Railway or tramway locomotives, rolling- stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro- mechanical) traffic signalling equipment of all kinds",Yes
18,1193,COCOA AND COCOA PREPARATIONS,Yes
69,1068,CERAMIC PRODUCTS,No
93,941,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF,Yes
55,778,Man- made staple fibres,Yes
11,592,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN,Yes
57,433,CARPETS AND OTHER TEXTILE FLOOR COVERINGS,Yes
31,225,FERTILISERS,Yes
37,175,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS,Yes
47,66,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper and paperboard,Yes
